更新日期,#genre#
2025-02-22,https://gitee.com/IIII-9306/PAV/raw/master/Updatetime.mp4
央视频道,#genre#
CCTV1,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476879.m3u8$IPV4•线路1
CCTV1,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8$IPV4•线路2
CCTV1,http://113.220.235.232:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路3
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路4
CCTV1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路5
CCTV1,http://101.66.199.26:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路6
CCTV1,http://101.66.198.53:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路7
CCTV1,http://101.66.198.93:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路8
CCTV1,http://101.66.198.213:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路9
CCTV1,http://101.66.198.222:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路10
CCTV1,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476879.m3u8$IPV4•线路11
CCTV1,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8$IPV4•线路12
CCTV1,http://113.220.235.232:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路13
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路14
CCTV1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路15
CCTV1,http://101.66.199.26:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路16
CCTV1,http://101.66.198.53:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路17
CCTV1,http://101.66.198.93:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路18
CCTV1,http://101.66.198.213:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路19
CCTV1,http://101.66.198.222:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路20
CCTV1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv$IPV4•线路21
CCTV1,http://171.8.247.154:808/hls/1/index.m3u8$IPV4•线路22
CCTV1,http://119.62.36.174:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路23
CCTV1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路24
CCTV1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路25
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路26
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$IPV4•线路27
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路28
CCTV1,http://120.234.5.29:6000/udp/239.20.0.104:2006$IPV4•线路29
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8$IPV4•线路30
CCTV1,http://mail.petzhu.top:7000/rtp/239.254.200.45:8008$IPV4•线路31
CCTV1,http://alvin.ergotron.net:8000/udp/239.77.1.17:5146$IPV4•线路32
CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008$IPV4•线路33
CCTV1,http://dms.yryyj.site:8188/udp/239.76.246.151:1234$IPV4•线路34
CCTV1,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV1HD/index.m3u8?gMac=unknown&livodToken=3f76fa247855b9f1507e08620e857dda1b4424839963e7074fc1ee72310d6023_1720504514_604800&fromCDN=ws$IPV4•线路35
CCTV1,http://221.5.12.130:2223/hls/23/index.m3u8$IPV4•线路36
CCTV1,http://171.108.239.79:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路37
CCTV1,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路38
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$IPV4•线路39
CCTV1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8$IPV4•线路40
CCTV1,http://115.171.216.195:4000/udp/225.1.8.1:8008$IPV4•线路41
CCTV1,http://183.3.134.56:9901/tsfile/live/0001_1.m3u8?key=tvbox6_com&playlive=1&authid=0$IPV4•线路42
CCTV1,http://223.159.8.12:8099/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路43
CCTV1,http://61.52.158.169:808/hls/1/index.m3u8$IPV4•线路44
CCTV1,http://171.108.239.98:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路45
CCTV1,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8$IPV4•线路46
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路47
CCTV1,http://59.62.8.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路48
CCTV1,http://124.165.251.82:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路49
CCTV1,http://219.159.147.195:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路50
CCTV1,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路51
CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路52
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路53
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路54
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv$IPV4•线路55
CCTV1,http://171.108.239.99:8181/tsfile/live/1027_1.m3u8?key=txiptv$IPV4•线路56
CCTV1,http://118.122.2.29:9999/hls/1/index.m3u8$IPV4•线路57
CCTV1,http://171.116.59.153:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路58
CCTV1,http://123.163.55.234:9901/tsfile/live/0001_1.m3u8?key=txiptv$IPV4•线路59
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8$IPV4•线路60
CCTV1,http://36.248.137.69:60033/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路61
CCTV1,http://171.108.239.99:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路62
CCTV1,http://36.40.237.20:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路63
